ds,yhat,yhat_lower,yhat_upper
2015-01-03,1416.8593265821792,-1329.5827774911197,3930.6665497202966
2015-01-04,1162.5354270324613,-1408.1647462287435,3797.490833574319
2015-01-05,1023.8677938463901,-1542.3855830360478,3610.0984136877837
2015-01-06,1192.017333412941,-1394.4353113497014,3851.535563673144
2015-01-07,625.5954057926754,-1835.8158252562298,3229.8533537017083
2015-01-08,-56.697027111967095,-2595.9469301583995,2627.279870679254
2015-01-09,430.7410154284001,-2174.978797718896,3007.9051576314214
2015-01-10,1042.232489873973,-1496.9094890132455,3516.4388289857607
2015-01-11,828.5626427225984,-1970.562320607149,3302.6376848729233
2015-01-12,734.0243808044582,-2021.9472866568108,3510.880527957319
2015-01-13,949.0517392634168,-1635.6033608674038,3565.071518900143
2015-01-14,430.55861131340424,-2152.8180806436712,3085.0903702359146
2015-01-15,-203.2767764581797,-2632.2426452168656,2430.32277789325
2015-01-16,333.09145923426735,-2154.8255641705023,2837.339908130795
2015-01-17,992.2213529547682,-1507.44630967192,3566.1763043395663
2015-01-18,823.2296521219192,-1653.4918843443506,3524.5126265678673
2015-01-19,770.1791409270519,-1774.1507153898053,3205.8747812287643
2015-01-20,1022.7912213303309,-1587.641593871618,3548.666313657973
2015-01-21,536.4538783906219,-2075.7222985147396,3237.673597955475
2015-01-22,-70.850920197496,-2647.0332569282864,2586.980752607631
2015-01-23,486.84277714989736,-2046.8053044476164,3071.923257163043
2015-01-24,1160.9420033304739,-1325.332982909528,3572.810491523444
2015-01-25,999.63425355888,-1678.0431106642397,3592.625749510079
2015-01-26,947.6001452914046,-1648.1751090307137,3447.114875538603
2015-01-27,1194.7856905343713,-1200.3753810089745,3749.9390838644013
2015-01-28,696.0577302307518,-1664.5755844632877,3154.0200467757395
2015-01-29,70.25066803346009,-2536.473402925831,2619.5990457344747
2015-01-30,604.8183068032507,-2187.9573760548033,3025.1976938053017
2015-01-31,1251.0780592643782,-1322.556271862305,3700.845289303802
2015-02-01,1057.31763775102,-1543.3449416998096,3537.5362875675128
2015-02-02,969.8081481170481,-1689.7623092315516,3658.4620240089794
2015-02-03,1179.6123780542064,-1389.466836527273,3735.8335838059143
2015-02-04,641.8658421806696,-1961.1321267778387,3407.4540837669147
2015-02-05,-23.07664373994351,-2413.6744010197854,2694.6350346492027
2015-02-06,474.2560703498276,-2100.05079622496,2887.326778892461
2015-02-07,1085.4694305792023,-1436.6830776138552,3903.7766431108903
2015-02-08,859.1674327367349,-1587.3277304303663,3660.017541031202
2015-02-09,743.2602740023341,-1669.2618807452827,3354.9792352695054
2015-02-10,929.806805419457,-1728.0865793582668,3613.7884929210495
2015-02-11,373.92341567883517,-2273.1899093277325,2940.1615512776198
